"私の会社は売れるだろうか？","満足の行く条件が出るかは「やってみなければわからない」が正直な回答です。ただ、好条件を引き出す方法はありますので、これをしっかりとこなすことで、満足できる条件で売れる確率は高まります。（リンク先は各項目の詳細記事です）。誠実な買い手候補を集めて入札形式で条件を募る。M&A対象会社の情報を買い手候補に適切に開示していく。対象会社の事情に最適なM&A手法で売る。適切な節税策で手取り財産を増やす。買い手候補の事業計画を吟味して誠実・適切な相手かを確認する。上記をきちんとこなせるM&Aアドバイザーを選定する。"
"M&Aが「成立」する確率は？","実際のところ１～２割程度。しかし、それだけあれば十分な数字です。売りに出る案件の大半は赤字や債務超過が大きすぎて「価値のない状態」である。価値のある会社だが売り手の理想が高く、条件が折り合わないことが多い。"
"売り手にとってのM&Aの成功率は？","体感では５割未満。なぜなら、みんな勉強不足だから。▶事業承継でM&Aを大成功させるための知識と知恵のすべて。"
"誰が会社を買っているのか？","中小企業の場合、同業他社が圧倒的多数です。"
"M&Aは大変だと聞くが、本当か？","大変ですが、しっかり準備しておけば、だいぶ楽になります。初体験の連続で先が見通せないまま進んでいく。その中で容易に後戻りできない判断を連続して迫られる。飛び交う用語も高度なのでついていくのが大変。人生の大決断であるプレッシャーが何カ月も続く。それも、経営者として事業や組織のマネジメントをしながら取り組まなければならない。極めつけはデューデリジェンス（買収前の調査対応）がとても手間。"
"M&Aはどんな風に進むのか？","オークション形式ですが、その手順は特殊です。"
"同業者の軍門に下ったと思われるのは嫌だ。","無理に自分を曲げて売るなら、売らないほうがいいでしょう。"
"社員に迷惑を掛けないためには何をすればいいのか？","相手の考えを見極め、信頼できる相手にだけ売りましょう。「雇用維持が絶対条件」など、買い手選びの基準を最初に宣言する。買い手候補のM&A後の事業計画を確認・比較する。トップ面談に万全の準備で臨み、相手をしっかり見極める。"
"M&Aは何から始めるべきか？","まずは情報を集め、M&Aを勉強してください。"
"M&Aのデメリットは？","最大のデメリットは“突然”経営者ではなくなること。"
"家族にはどのタイミングで話すべきか？","本来は真っ先に相談すべき相手ですが・・・。"
"従業員にはどのタイミングで話すべきか？","つらいと思いますが、最後まで内密に。"
"役員にはどのタイミングで話すべきか？","基本合意後からデューデリジェンスまでに話しましょう。"
"顧問税理士にはどのタイミングで話すべきか？","デューデリジェンス前にお伝えするのがベストです。"
"金融機関にはどのタイミングで話すべきか？","最終契約調印後速やかに挨拶へ。"
"株式が分散しているが、どうすればいいか？","人間関係最優先で考えましょう。すべての類似事例に共通する解決策はなかなかありません。教科書的な回答をすれば、M&Aプロセス開始前に相続税法評価額などの安価で買い集めるのがベストなのですが、自分が数十万円で売った株式が数カ月後に億単位になったと知ったら相手はどう思うでしょうか？"
"名義株があるのだが、どうすればいいか？","最終的には契約書で売り手が責任を持つ。名義株主から名義株であることの確認書をもらう。買い手がリスクテイクできる資料を揃える。最終契約書の「表明・保証」で売り手が保証する。"
"事業の一部だけ残すことはできるのか？"
"事業を分けて売るのと一括で売るのでは、どちらが売りやすいか？","一般的には、切り分けて売ったほうが価値は高くなります。M&A後の事業・組織に関する12の質問。"
